time,latitude,longitude,temperature,gas1,gas2,voc,humidity,light,sound
1,42.362758,-71.090684,58.60765193,0.67224276,0.731939467,0,0.546593002,0.969939115,0.922041297
2,42.3624916,-71.0911046,20.64796458,0.920160696,0.677464625,0.06279052,0.911795486,0.921372193,0.271160041
3,42.3622252,-71.0915252,38.51787254,0.840496415,0.944182901,0.125333234,0.410652553,0.38685303,0.977263453
4,42.3619588,-71.0919458,74.87690649,0.453054502,0.695610455,0.187381315,0.936512974,0.888661922,0.276658822
5,42.3616924,-71.0923664,56.61483107,0.6667269,0.99542503,0.248689887,0.637440819,0.192037184,0.507986802
6,42.361426,-71.092787,86.00606686,0.431754691,0.026917281,0.309016994,0.461998339,0.496546037,0.408994284
7,42.3611596,-71.0932076,5.216801378,0.856673382,0.249703285,0.368124553,0.676163868,0.191432437,0.127836954
8,42.3608932,-71.0936282,70.8636539,0.734498166,0.771772957,0.425779292,0.360995701,0.941852846,0.08537961
9,42.3606268,-71.0940488,54.49254415,0.850169042,0.938037011,0.481753674,0.81699209,0.797708591,0.608275789
10,42.3603604,-71.0944694,2.500757099,0.860793741,0.801311318,0.535826795,0.87528265,0.649111636,0.014619605
11,42.360094,-71.09489,50.92728938,0.953414876,0.59499663,0.587785252,0.507130675,0.766087298,0.808428245
12,42.35951653,-71.09455523,75.26778386,0.774445253,0.549958616,0.63742399,0.693697579,0.868387807,0.833315124
13,42.35893907,-71.09422047,8.592171862,0.338355308,0.75101631,0.684547106,0.055688052,0.727843779,0.985999187
14,42.3583616,-71.0938857,15.69325077,0.913764797,0.035749647,0.728968627,0.266833592,0.791287972,0.921429614
15,42.35778413,-71.09355093,15.41936815,0.105162419,0.322084069,0.770513243,0.148415064,0.751301179,0.97865559
16,42.35720667,-71.09321617,49.77434974,0.349899174,0.616522818,0.809016994,0.569147587,0.134839154,0.758949822
17,42.3566292,-71.0928814,38.61560039,0.747255788,0.313347457,0.844327926,0.812022795,0.330230513,0.261690603
18,42.35605173,-71.09254663,91.97600909,0.562518816,0.024662176,0.87630668,0.729756458,0.966450972,0.19398924
19,42.35547427,-71.09221187,90.68537161,0.751240687,0.020430438,0.904827052,0.903387373,0.420497988,0.930960322
20,42.3548968,-71.0918771,84.09210515,0.176419694,0.732262124,0.929776486,0.033576339,0.684412723,0.740789281
21,42.35431933,-71.09154233,29.46372671,0.734393105,0.979056777,0.951056516,0.921392384,0.709546579,0.940889739
22,42.35374187,-71.09120757,58.12572358,0.987014345,0.723299076,0.968583161,0.043323989,0.834255898,0.222219334
23,42.3531644,-71.0908728,41.36629467,0.585107007,0.559800134,0.982287251,0.002410875,0.141553919,0.215197744
24,42.35258693,-71.09053803,67.67374917,0.6196032,0.26875158,0.992114701,0.748069983,0.844567069,0.877524078
25,42.35200947,-71.09020327,54.2837065,0.310006508,0.983895966,0.998026728,0.574718753,0.662106133,0.587758741
26,42.351432,-71.0898685,91.8882563,0.388088245,0.508034964,1,0.810126385,0.89955218,0.583752092
27,42.35085453,-71.08953373,68.04505028,0.471317008,0.026593,0.998026728,0.994980614,0.23342186,0.141785764
28,42.35027707,-71.08919897,34.39974394,0.344504936,0.483520278,0.992114701,0.049187284,0.470780824,0.756665782
29,42.3496996,-71.0888642,26.9287847,0.743836897,0.589613888,0.982287251,0.500509292,0.653459233,0.741047973
30,42.34912213,-71.08852943,55.23444935,0.511255099,0.086097681,0.968583161,0.263009109,0.916232019,0.660311383
31,42.34854467,-71.08819467,92.76350014,0.348030132,0.533704853,0.951056516,0.330039523,0.817478262,0.550596093
32,42.3479672,-71.0878599,39.44136245,0.288933482,0.465068658,0.929776486,0.669824213,0.195691163,0.882861032
33,42.34738973,-71.08752513,60.95385793,0.546141526,0.753470632,0.904827052,0.657296448,0.561090609,0.917915132
34,42.34681227,-71.08719037,61.31010732,0.748020446,0.681447497,0.87630668,0.050960283,0.001826029,0.499074012
35,42.3462348,-71.0868556,28.09705328,0.810863748,0.805919651,0.844327926,0.344945364,0.87270913,0.975597971
36,42.34565733,-71.08652083,89.92982549,0.073065723,0.461187575,0.809016994,0.520023109,0.249646267,0.586196846
37,42.34507987,-71.08618607,70.78514559,0.717915764,0.85551733,0.770513243,0.070071923,0.160525361,0.939361774
38,42.3445024,-71.0858513,64.42779635,0.203268071,0.022773871,0.728968627,0.409644676,0.642958905,0.793072498
39,42.34392493,-71.08551653,15.65286114,0.092838114,0.38124557,0.684547106,0.862984065,0.74621226,0.364398193
40,42.34334747,-71.08518177,96.16191341,0.507967404,0.539379138,0.63742399,0.494591649,0.497122125,0.948464721
41,42.34277,-71.084847,78.18224697,0.004914363,0.130141591,0.587785252,0.10608482,0.298096445,0.8999222
42,42.3433855,-71.0841003,43.21282266,0.305725135,0.70671336,0.535826795,0.804375345,0.361817902,0.890242249
43,42.344001,-71.0833536,83.40648276,0.843577702,0.145361201,0.481753674,0.026070666,0.595274367,0.677782006
44,42.3446165,-71.0826069,87.21912621,0.817382713,0.492264278,0.425779292,0.87934053,0.258163015,0.875059097
